Policy,Capture_Rate_Percent,Mean_Time_to_Capture_Seconds,Num_Cases,False_Safe_Rate_Percent,Mean_Min_Distance
dp_vs_dp,100.0,1.375,2,50.0,0.3516957182552085
dp_vs_mpc,100.0,1.5750000000000002,2,50.0,0.3566989559305387
dp_vs_vanilla,0.0,N/A,2,0.0,0.4277609716905182
dp_vs_isaacs,0.0,N/A,2,0.0,0.4593959198255309
mpc_vs_dp,100.0,1.8250000000000002,2,0.0,0.3584905238728535
mpc_vs_mpc,100.0,2.1500000000000004,2,0.0,0.3581385367048993
mpc_vs_vanilla,50.0,0.75,2,0.0,0.3965925986947359
mpc_vs_isaacs,0.0,N/A,2,0.0,0.430099036899976
vanilla_vs_dp,100.0,0.42500000000000004,2,100.0,0.3430648270001394
vanilla_vs_mpc,100.0,0.5,2,100.0,0.3551257349315712
vanilla_vs_vanilla,50.0,0.45,2,50.0,0.3667578040660595
vanilla_vs_isaacs,100.0,0.525,2,100.0,0.34727694752152644
isaacs_vs_dp,100.0,0.475,2,100.0,0.3441684028919566
isaacs_vs_mpc,100.0,0.475,2,100.0,0.3504839708992299
isaacs_vs_vanilla,100.0,1.375,2,100.0,0.35693723507055497
isaacs_vs_isaacs,100.0,0.625,2,100.0,0.3539602442817741
